date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:29:07	64032/64032	---M-Z	200	added ('OK')	text/html	etag:%22fa20-6155c889-3a2be0ce3502a67c;gz%22	https://sandbox.elemisthemes.com/demo1.html	C:/Users/mrtha/OneDrive/Desktop/website2/project/sandbox.elemisthemes.com/demo1.html	(from )
20:29:08	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5ff4583c-904a05fa2fc47fb6;gz%22	https://sandbox.elemisthemes.com/robots.txt		(from )
20:29:08	575/575	---M--	200	added ('OK')	image/png	etag:%2223f-6155c88a-a5521389d6cf3597;;;%22	https://sandbox.elemisthemes.com/assets/img/favicon.png	C:/Users/mrtha/OneDrive/Desktop/website2/project/sandbox.elemisthemes.com/assets/img/favicon.png	(from https://sandbox.elemisthemes.com/demo1.html)
20:29:09	141994/141994	---M-Z	200	added ('OK')	text/css	etag:%2222aaa-6155c88a-cf6911f109a4177;gz%22	https://sandbox.elemisthemes.com/assets/css/plugins.css	C:/Users/mrtha/OneDrive/Desktop/website2/project/sandbox.elemisthemes.com/assets/css/plugins.css	(from https://sandbox.elemisthemes.com/demo1.html)
20:29:10	499819/499819	---M-Z	200	added ('OK')	text/css	etag:%227a06b-6155c88a-7e7967f390834b9a;gz%22	https://sandbox.elemisthemes.com/assets/css/style.css	C:/Users/mrtha/OneDrive/Desktop/website2/project/sandbox.elemisthemes.com/assets/css/style.css	(from https://sandbox.elemisthemes.com/demo1.html)
20:29:11	8692/8692	---M-Z	200	added ('OK')	text/css	etag:%2221f4-6155c88a-e65f4b130dca7b67;gz%22	https://sandbox.elemisthemes.com/assets/css/colors/yellow.css	C:/Users/mrtha/OneDrive/Desktop/website2/project/sandbox.elemisthemes.com/assets/css/colors/yellow.css	(from https://sandbox.elemisthemes.com/demo1.html)
20:29:11	2433/2433	---M-Z	200	added ('OK')	text/css	etag:%22981-6155c88a-704ea86b8456f54d;gz%22	https://sandbox.elemisthemes.com/assets/css/fonts/thicccboi.css	C:/Users/mrtha/OneDrive/Desktop/website2/project/sandbox.elemisthemes.com/assets/css/fonts/thicccboi.css	(from https://sandbox.elemisthemes.com/demo1.html)
20:29:12	99807/99807	---M-Z	200	added ('OK')	text/html	etag:%22185df-6155c889-329355ded6c19fb1;gz%22	https://sandbox.elemisthemes.com/index.html	C:/Users/mrtha/OneDrive/Desktop/website2/project/sandbox.elemisthemes.com/index.html	(from https://sandbox.elemisthemes.com/demo1.html)
20:29:12	1066/1066	---M--	200	added ('OK')	image/png	etag:%2242a-6155c88a-4d7671fe91bfd1df;;;%22	https://sandbox.elemisthemes.com/assets/img/logo-dark.png	C:/Users/mrtha/OneDrive/Desktop/website2/project/sandbox.elemisthemes.com/assets/img/logo-dark.png	(from https://sandbox.elemisthemes.com/demo1.html)
20:29:12	1066/1066	---M--	200	added ('OK')	image/png	etag:%2242a-6155c88f-c1054df8a4030633;;;%22	https://sandbox.elemisthemes.com/assets/img/logo-light.png	C:/Users/mrtha/OneDrive/Desktop/website2/project/sandbox.elemisthemes.com/assets/img/logo-light.png	(from https://sandbox.elemisthemes.com/demo1.html)
20:29:13	6539/6539	---M--	200	added ('OK')	image/jpeg	etag:%22198b-6155c88e-394fce92460691c5;;;%22	https://sandbox.elemisthemes.com/assets/img/demos/mi1.jpg	C:/Users/mrtha/OneDrive/Desktop/website2/project/sandbox.elemisthemes.com/assets/img/demos/mi1.jpg	(from https://sandbox.elemisthemes.com/demo1.html)
20:29:15	49948/49948	---M-Z	200	added ('OK')	text/html	etag:%22c31c-6155c889-dfbcdda09f791483;gz%22	https://sandbox.elemisthemes.com/demo2.html	C:/Users/mrtha/OneDrive/Desktop/website2/project/sandbox.elemisthemes.com/demo2.html	(from https://sandbox.elemisthemes.com/demo1.html)
20:29:15	7178/7178	---M--	200	added ('OK')	image/jpeg	etag:%221c0a-6155c88e-3faecfd4d4a2746d;;;%22	https://sandbox.elemisthemes.com/assets/img/demos/mi2.jpg	C:/Users/mrtha/OneDrive/Desktop/website2/project/sandbox.elemisthemes.com/assets/img/demos/mi2.jpg	(from https://sandbox.elemisthemes.com/demo1.html)
20:29:16	58054/58054	---M-Z	200	added ('OK')	text/html	etag:%22e2c6-6155c889-c57faf204e590e50;gz%22	https://sandbox.elemisthemes.com/demo3.html	C:/Users/mrtha/OneDrive/Desktop/website2/project/sandbox.elemisthemes.com/demo3.html	(from https://sandbox.elemisthemes.com/demo1.html)
20:29:16	6859/6859	---M--	200	added ('OK')	image/jpeg	etag:%221acb-6155c88e-e84eed7d4c35c0c2;;;%22	https://sandbox.elemisthemes.com/assets/img/demos/mi3.jpg	C:/Users/mrtha/OneDrive/Desktop/website2/project/sandbox.elemisthemes.com/assets/img/demos/mi3.jpg	(from https://sandbox.elemisthemes.com/demo1.html)
20:29:17	53420/53420	---M-Z	200	added ('OK')	text/html	etag:%22d0ac-6155c889-3ddc75be0934b19f;gz%22	https://sandbox.elemisthemes.com/demo4.html	C:/Users/mrtha/OneDrive/Desktop/website2/project/sandbox.elemisthemes.com/demo4.html	(from https://sandbox.elemisthemes.com/demo1.html)
20:29:17	8828/8828	---M--	200	added ('OK')	image/jpeg	etag:%22227c-6155c88e-f991687440b259f9;;;%22	https://sandbox.elemisthemes.com/assets/img/demos/mi4.jpg	C:/Users/mrtha/OneDrive/Desktop/website2/project/sandbox.elemisthemes.com/assets/img/demos/mi4.jpg	(from https://sandbox.elemisthemes.com/demo1.html)
20:29:17	57928/57928	---M-Z	200	added ('OK')	text/html	etag:%22e248-6155c88f-71ab4c88991f846;gz%22	https://sandbox.elemisthemes.com/demo5.html	C:/Users/mrtha/OneDrive/Desktop/website2/project/sandbox.elemisthemes.com/demo5.html	(from https://sandbox.elemisthemes.com/demo1.html)
20:29:18	7057/7057	---M--	200	added ('OK')	image/jpeg	etag:%221b91-6155c88e-b591ecfd89277179;;;%22	https://sandbox.elemisthemes.com/assets/img/demos/mi5.jpg	C:/Users/mrtha/OneDrive/Desktop/website2/project/sandbox.elemisthemes.com/assets/img/demos/mi5.jpg	(from https://sandbox.elemisthemes.com/demo1.html)
